aco_flight_number,plot_datetime,study_area,plot_id,plot_type,cardinal,distance,multi_core,depth,core,plug,mass,notes,elevation,longitude,latitude,easting,northing,geometry,canopy_height,canopy_density,canopy_cover,aspect,SD_lidar,slope,field - lidar,aspect_cardinal,cover_type
1,3/11/2021 16:09,Englishman,E3F,Cardinal 10 m,S,5.0,,220,,0,,,1242.2401123046875,-124.5526971,49.20319333,386896.521,5451199.528,POINT (386896.521 5451199.528),13,85.69999694824219,92.30000305175781,91.55850982666016,211.0,11.442047119140625,9.0,East,under canopy
1,3/9/2021 16:36,Englishman,S3F,Cardinal 10 m,S,7.5,,290,,0,,,1375.5020751953125,-124.5676667,49.20373299,385807.369,5451279.501,POINT (385807.369 5451279.501),0,0.0,0.0,231.8086395263672,295.0,22.279949188232422,-5.0,Southwest,open
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,S,7.5,,325,,0,,,1551.3260498046875,-124.5714063,49.20964315,385548.621,5451942.144,POINT (385548.621 5451942.144),6,81.80000305175781,100.0,159.68150329589844,293.0,12.479109764099121,32.0,South,under canopy
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,S,7.5,,360,,0,,,1551.0950927734375,-124.5725777,49.2107934,385465.967,5452071.782,POINT (385465.967 5452071.782),0,0.0,0.0,303.6962890625,352.0,12.418542861938477,8.0,Northwest,open
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,S,7.5,,290,,0,,,1334.1280517578125,-124.5571025,49.1991623,386566.412,5450755.519,POINT (386566.412 5450755.519),0,0.0,0.0,311.2356872558594,289.0,16.773534774780273,1.0,Northwest,open
1,3/11/2021 15:02,Englishman,W3F,Cardinal 10 m,S,7.5,,250,,0,,,1246.2921142578125,-124.5537771,49.20333944,386818.185,5451214.884,POINT (386818.185 5451214.884),8,75.0,85.69999694824219,293.0094299316406,236.0,14.354227066040039,14.0,Northwest,under canopy
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,S,7.5,,314,,0,,,1524.06005859375,-124.5728909,49.2124938,385447.085,5452261.278,POINT (385447.085 5452261.278),0,0.0,0.0,3.8016927242279053,327.0,7.54572057723999,-13.0,North,open
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,S,7.5,,314,,0,,,1524.06005859375,-124.5728909,49.2124938,385447.085,5452261.278,POINT (385447.085 5452261.278),0,0.0,0.0,3.8016927242279053,327.0,7.54572057723999,-13.0,North,open
1,3/11/2021 16:09,Englishman,E3F,Cardinal 10 m,S,7.5,,210,,0,,,1242.0321044921875,-124.5526971,49.20319333,386896.521,5451197.028,POINT (386896.521 5451197.028),11,55.599998474121094,66.69999694824219,90.67127227783203,238.0,18.172832489013672,-28.0,East,under canopy
1,3/9/2021 16:36,Englishman,S3F,Cardinal 10 m,S,10.0,,300,,0,,,1375.049072265625,-124.5676667,49.20373299,385807.369,5451277.001,POINT (385807.369 5451277.001),7,64.30000305175781,83.30000305175781,234.27621459960938,287.0,27.59373664855957,13.0,Southwest,under canopy
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,S,10.0,,325,,0,,,1550.569091796875,-124.5714063,49.20964315,385548.621,5451939.644,POINT (385548.621 5451939.644),4,90.0,85.69999694824219,154.4651641845703,331.0,13.747374534606934,-6.0,Southeast,under canopy
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,S,10.0,no,285,,0,,,1334.4500732421875,-124.5571025,49.1991623,386566.412,5450753.019,POINT (386566.412 5450753.019),0,0.0,0.0,304.7568359375,290.0,18.902074813842773,-5.0,Northwest,open
1,3/11/2021 15:02,Englishman,W3F,Cardinal 10 m,S,10.0,no,235,198.0,0,850.0,,1246.5050048828125,-124.5537771,49.20333944,386818.185,5451212.384,POINT (386818.185 5451212.384),0,0.0,0.0,300.70440673828125,247.0,15.619439125061035,-12.0,Northwest,open
1,3/11/2021 16:09,Englishman,E3F,Cardinal 10 m,S,10.0,no,230,180.0,0,830.0,In amongst 3 trees,1242.3670654296875,-124.5526971,49.20319333,386896.521,5451194.528,POINT (386896.521 5451194.528),10,81.80000305175781,88.9000015258789,80.80745697021484,191.0,14.691879272460938,39.0,East,under canopy
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,S,10.0,yes,325,250.0,0,1260.0,,1550.569091796875,-124.5714063,49.20964315,385548.621,5451939.644,POINT (385548.621 5451939.644),4,90.0,85.69999694824219,154.4651641845703,331.0,13.747374534606934,-6.0,Southeast,under canopy
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,S,10.0,yes,325,250.0,0,1260.0,Multipart core likely picked up snow in the second part core,1550.569091796875,-124.5714063,49.20964315,385548.621,5451939.644,POINT (385548.621 5451939.644),4,90.0,85.69999694824219,154.4651641845703,331.0,13.747374534606934,-6.0,Southeast,under canopy
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,S,10.0,yes,335,331.0,0,1820.0,,1551.236083984375,-124.5725777,49.2107934,385465.967,5452069.282,POINT (385465.967 5452069.282),0,0.0,0.0,356.3990173339844,371.0,18.699838638305664,-36.0,North,open
