aco_flight_number,plot_datetime,study_area,plot_id,plot_type,cardinal,distance,multi_core,depth,core,plug,mass,notes,elevation,longitude,latitude,easting,northing
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,W,7.5,,425,,0,,,1548.979981,-124.5725777,49.2107934,385458.467,5452079.282
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,W,7.5,,260,,0,,,1332.949951,-124.5571025,49.1991623,386558.912,5450763.019
1,3/11/2021 15:02,Englishman,W3F,Cardinal 10 m,W,7.5,,275,,0,,,1243.01001,-124.5537771,49.20333944,386810.685,5451222.384
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,W,7.5,,285,,0,,,1523.329956,-124.5728909,49.2124938,385439.585,5452268.778
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,W,7.5,,285,,0,,,1523.329956,-124.5728909,49.2124938,385439.585,5452268.778
1,3/11/2021 16:09,Englishman,E3F,Cardinal 10 m,W,7.5,,280,,0,,,1243.650024,-124.5526971,49.20319333,386889.021,5451204.528
1,3/9/2021 16:36,Englishman,S3F,Cardinal 10 m,W,10,,270,,0,,,1373.829956,-124.5676667,49.20373299,385797.369,5451287.001
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,W,10,no,385,160,0,660,"Near trees, questionable going thru snow",,-124.5714063,49.20964315,385538.621,5451949.644
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,W,10,,375,,0,,,1548.939941,-124.5725777,49.2107934,385455.967,5452079.282
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,W,10,no,315,,0,,,1332.75,-124.5571025,49.1991623,386556.412,5450763.019
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,W,10,yes,375,370,0,2160,,1548.939941,-124.5725777,49.2107934,385455.967,5452079.282
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,W,10,yes,375,370,0,2160,Might not be to ground,1548.939941,-124.5725777,49.2107934,385455.967,5452079.282
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,W,10,yes,290,295,0,1530,,1523.579956,-124.5728909,49.2124938,385437.085,5452268.778
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,N,2.5,,350,,0,,,1553.01001,-124.5714063,49.20964315,385548.621,5451952.144
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,N,2.5,,415,,0,,,1549.069946,-124.5725777,49.2107934,385465.967,5452081.782
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,N,2.5,,310,,0,,,1332.51001,-124.5571025,49.1991623,386566.412,5450765.519
1,3/11/2021 15:02,Englishman,W3F,Cardinal 10 m,N,2.5,,255,,0,,,1244,-124.5537771,49.20333944,386818.185,5451224.884
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,N,2.5,,280,,0,,,1522.069946,-124.5728909,49.2124938,385447.085,5452271.278
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,N,2.5,,280,,0,,,1522.069946,-124.5728909,49.2124938,385447.085,5452271.278
1,3/11/2021 16:09,Englishman,E3F,Cardinal 10 m,N,2.5,,300,,0,,,1242.140015,-124.5526971,49.20319333,386896.521,5451207.028
1,3/11/2021 15:02,Englishman,W3F,,W,10,no,280,210,0,1010,Bad recovery small tree well denser crystals,1244.339966,-124.5537771,49.20333944,386818.185,5451222.384
1,3/11/2021 16:09,Englishman,E3F,,,10,no,275,255,0,1020,,1242.030029,-124.5526971,49.20319333,386896.521,5451204.528
1,3/11/2021 16:09,Englishman,E3F,,Centre,,no,250,190,0,750,Hit small pocket,1242.030029,-124.5526971,49.20319333,386896.521,5451204.528
1,3/10/2021 12:50,Englishman,E1A,,S,10,yes,335,331,0,1820,,1549.069946,-124.5725777,49.2107934,385465.967,5452079.282
1,3/10/2021 12:50,Englishman,E1A,,N,10,yes,220,200,0,1340,,1549.069946,-124.5725777,49.2107934,385465.967,5452079.282
